FOLDER	AUTHOR	RECALL	F1	TOTALEDGES	REMOVEDEDGES	MARK
4379	186575C5	0.9412	0.9209	19	1	a
4786	16E7C102	0.9333	0.5258	21	2	a
4331	1476F0C1	0.9712	0.658	53	1	a
4321	03E6484F	0.9405	0.3873	33	4	b
4487	167C3F4B	0.9833	0.2957	30	3	b
4400	1821B97D	0.8409	0.6607	21	1	a
4944	0C9E230D	0.9091	0.9195	12	1	a
4554	19C6626A	0.7976	0.8481	24	1	a
4840	0F12CA2D	0.975	0.8298	14	1	a
4363	15F54986	0.9519	0.8319	36	1	a
5513	1A201FBE	0.9464	0.8281	20	1	a
5950	199A339D	0.7885	0.82	15	1	a
5454	0FCC071A	0.8207	0.3989	62	3	b
5706	154CA0AE	0.9722	0.915	22	1	a
5172	045934E0	0.875	0.1527	204	9	c
5971	0E901FA7	0.8333	0.4167	54	3	b
5524	174BA67D	0.8125	0.5024	22	2	a
5553	09DDF2DE	0.9545	0.5091	32	1	a
5297	1553F5EE	0.9375	0.9	14	1	a
5291	19E9DE6F	0.9375	0.7317	20	1	a
5411	0D908846	0.9211	0.7735	29	1	a
5818	1734E0F3	0.931	0.8244	39	2	a
5729	18AEE8AA	0.895	0.2887	60	5	c
5336	175E25AE	0.9211	0.2811	35	4	b
5826	129A825E	0.9474	0.5618	72	2	a
5387	16E089B6	0.9706	0.8627	22	1	a
5137	164CB6CC	0.9833	0.5813	19	2	a
5747	154E347C	0.7986	0.5764	40	2	a
5248	1036477C	0.8571	0.5565	34	2	a
5188	0B83816E	0.925	0.6218	21	1	a
5853	09C6C255	0.8542	0.2857	37	4	b
5107	03ADA93E	0.975	0.5821	24	1	a
5567	09D2A7EB	0.9071	0.5632	43	2	a
5146	19669A2B	0.9792	0.9216	17	1	a
5774	0A444FE8	0.9461	0.23	97	4	b
5125	19CFA36E	0.9615	0.7752	22	1	a
5486	0F8F17E5	0.9438	0.2673	66	4	b
5541	13600905	0.9659	0.4503	76	2	a
5617	163BA8E0	0.9435	0.9035	36	2	a
5650	129A1BA9	0.875	0.5738	23	1	a
5903	18A4B634	0.9488	0.1024	143	11	c
5751	0817C021	0.7614	0.8481	23	1	a
5936	192E73CC	0.8452	0.2373	53	6	c
5869	1814C224	0.9792	0.9216	14	1	a
5928	1912FDE5	0.9545	0.8984	27	1	a
5205	078F172D	0.9808	0.3878	28	2	a
5132	14AA3B93	0.8125	0.8739	17	1	a
5498	1912F3C3	1.0	0.4164	37	2	a
5746	175D44AF	0.9583	0.5169	28	2	a
5108	1848063B	1.0	0.9412	16	1	a
5555	0B67CA85	0.875	0.814	13	1	a
5770	15789CC6	0.9242	0.4236	41	3	b
5696	144F0CE3	0.9808	0.8361	18	1	a
5163	17CFED26	0.9583	0.7419	20	1	a
5733	1678159A	0.925	0.8409	13	1	a
5414	17E208A3	0.9231	0.8421	17	2	a
5557	1A1FC4A1	0.9261	0.2772	56	5	c
5231	1838DC1C	0.9375	0.4918	36	1	a
5353	151FEDE2	0.7889	0.3037	193	5	c
5579	15E6C282	0.975	0.7959	16	1	a
5796	08DB29B0	0.875	0.8296	22	1	a
5299	125D2913	0.9797	0.2539	65	4	b
5669	197AB1E6	0.8509	0.4106	70	3	b
5442	1618ED8B	0.85	0.8831	11	1	a
5810	170B1AA0	0.9444	0.288	123	3	b
5304	1917D7D4	1.0	0.9739	16	1	a
5772	10FBCF15	0.98	0.4109	49	2	a
5528	13A2D623	0.9387	0.2568	89	4	b
5608	0CFB6C2D	0.975	0.8667	14	1	a
5203	15687754	0.9076	0.311	65	4	b
5451	1658F5F4	0.9615	0.2278	55	2	a
5652	0F8D9F50	0.9375	0.4959	60	2	a
5878	18450D76	0.875	0.5263	25	1	a
5309	17DD913B	0.9647	0.0779	169	14	c
5848	17B138A6	1.0	0.7547	17	1	a
5863	0CAECE28	0.8264	0.1889	81	5	c
5204	00745CF4	0.9545	0.8317	17	1	a
5277	0E540221	0.875	0.4279	50	3	b
5842	0C33C49D	0.9861	0.2518	48	3	b
5960	0E4069A0	0.8947	0.2996	42	3	b
5560	14C8CABB	0.9848	0.8307	46	1	a
5968	19BD7565	0.9732	0.8516	37	1	a
5099	1052A93C	0.8991	0.1954	102	5	c
5161	17EF1420	0.9583	0.5679	23	2	a
5940	1947666F	0.7768	0.4957	44	2	a
5174	17969EAB	0.9375	0.515	23	2	a
5809	1703D857	0.885	0.0698	232	18	c
5415	13F2C0B8	0.8889	0.6124	20	2	a
5225	05B16E8B	0.9821	0.8209	20	1	a
5397	19B898BB	0.913	0.8485	29	1	a
5496	02688F7C	0.7692	0.8421	14	1	a
5149	015EC8AC	0.8333	0.4386	51	3	b
5324	18546DAB	0.9474	0.3815	54	3	b
5389	0D211F81	0.9853	0.4735	28	2	a
5519	19A91DFE	0.8333	0.5917	18	2	a
5550	03CF5760	0.9444	0.6476	36	1	a
5348	164AFCC5	0.9853	0.6768	33	1	a
5715	19286130	0.7813	0.5076	21	2	a
5432	1865A561	0.875	0.8317	15	1	a
5398	130C1E62	0.9196	0.4392	48	2	a
5782	18D3C57A	0.9306	0.0501	261	19	c
5441	14D43F54	0.9423	0.7259	22	1	a
5535	14DB1F1A	0.9444	0.2244	85	6	c
5625	109E368D	0.9	0.8276	15	1	a
5947	198EF811	0.8633	0.5358	81	2	a
5404	16C1E4ED	0.9009	0.8489	65	1	a
